Marque,Modèle,Type de Carburant,Puissance Fiscale (CV),Puissance Moteur,Transmission,Consommation Urbaine (L/100 km),Consommation Autoroute (L/100 km),Consommation Mixte (L/100 km),Emissions CO2 (g/km),Catégorie de Véhicule,Cylindrée (L),Cylindres,masse orde marche min,masse orde marche max
AUDI,A6 2.4L (170ch) MULTITRONIC,ES,11,125.0,V 0,14.3,7.1,9.7,233.0,,,,,
AUDI,A6 2.4L (170ch) MULTITRONIC,ES,11,125.0,V 0,14.3,7.1,9.7,233.0,,,,,
AUDI,A6 AVANT 2.4L (170ch) MULTITRONIC,ES,11,125.0,V 0,14.3,7.1,9.7,233.0,,,,,
AUDI,A6 AVANT 2.4L (170ch) MULTITRONIC,ES,11,125.0,V 0,14.3,7.1,9.7,233.0,,,,,
AUDI,A6 2.4L (170ch) QUATTRO,ES,12,125.0,M 5,15.2,8.3,10.9,262.0,,,,,
AUDI,A6 2.4L (170ch) QUATTRO TIPTRONIC,ES,12,125.0,A 5,16.3,8.2,11.3,271.0,,,,,
AUDI,A6 2.4L (170ch) QUATTRO TIPTRONIC,ES,12,125.0,A 5,16.3,8.2,11.3,271.0,,,,,
AUDI,A6 AVANT 2.4L (170ch),ES,12,125.0,M 5,14.1,7.6,10.0,240.0,,,,,
AUDI,A6 AVANT 2.4L (170ch),ES,12,125.0,M 5,14.1,7.6,10.0,240.0,,,,,
AUDI,A6 2.7T,ES,15,184.0,A 5,,,,,,,,,
AUDI,A6 3.0L (220ch),ES,15,162.0,M 5,13.9,7.3,9.7,233.0,,,,,
AUDI,A6 3.0L (220ch),ES,15,162.0,M 5,14.0,7.4,9.8,235.0,,,,,
AUDI,A6 3.0L (220ch) MULTITRONIC,ES,15,162.0,V 0,14.1,7.2,9.7,233.0,,,,,
